t,Bus 0: voltage magnitude,Bus 1: voltage magnitude,Bus 2: voltage magnitude,Transformer $u_\mathrm{l}$
0.0,0.9949999999999999,0.9955043688695054,0.9999999999999997,1.0
0.005,0.9949999999999999,0.9955043688695054,0.9999999999999997,1.0
0.01,0.9949999999999999,0.9955043688695054,0.9999999999999997,1.0
0.015,0.9949999999999999,0.9955043688695054,0.9999999999999997,1.0
0.02,0.9949999999999999,0.9955043688695054,0.9999999999999997,1.0
0.025,0.9949999999999999,0.9955043688695054,0.9999999999999997,1.0
0.03,0.9949999999999999,0.9955043688695054,0.9999999999999997,1.0
0.035,0.9949999999999999,0.9955043688695054,0.9999999999999997,1.0
0.04,0.9949999999999999,0.9955043688695054,0.9999999999999997,1.0
0.045,0.9949999999999999,0.9955043688695054,0.9999999999999997,1.0
0.05,0.9949999999999999,0.9955043688695054,0.9999999999999997,1.0
0.055,0.9949999999999999,0.9955043688695054,0.9999999999999997,1.0
0.06,0.9949999999999999,0.9955043688695054,0.9999999999999997,1.0
0.065,0.9949999999999999,0.9955043688695054,0.9999999999999997,1.0
0.07,0.9949999999999999,0.9955043688695054,0.9999999999999997,1.0
0.075,0.9949999999999999,0.9955043688695054,0.9999999999999997,1.0
0.08,0.9949999999999999,0.9955043688695054,0.9999999999999997,1.0
0.085,0.9949999999999999,0.9955043688695054,0.9999999999999997,1.0
0.09,0.9949999999999999,0.9955043688695054,0.9999999999999997,1.0
0.095,0.9949999999999999,0.9955043688695054,0.9999999999999997,1.0
0.1,0.9949999999999999,0.9955043688695054,0.9999999999999997,1.0
0.105,0.9949999999999999,0.9955043688695054,0.9999999999999997,1.0
0.11,0.9949999999999999,0.9955043688695054,0.9999999999999997,1.0
0.115,0.9949999999999999,0.9955043688695054,0.9999999999999997,1.0
0.12,0.9949999999999999,0.9955043688695054,0.9999999999999997,1.0
0.125,0.9949999999999999,0.9955043688695054,0.9999999999999997,1.0
0.13,0.9949999999999999,0.9955043688695054,0.9999999999999997,1.0
0.135,0.9949999999999999,0.9955043688695054,0.9999999999999997,1.0
0.14,0.9949999999999999,0.9955043688695054,0.9999999999999997,1.0
